,userId_x,movieId,title,genres,imdbId,tmdbId,rating,timestamp_x,clean_title
0,1.0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862.0,4.0,964982703.0,Toy Story  1995 
1,6.0,2,Jumanji (1995),Adventure|Children|Fantasy,113497,8844.0,4.0,845553522.0,Jumanji  1995 
2,1.0,3,Grumpier Old Men (1995),Comedy|Romance,113228,15602.0,4.0,964981247.0,Grumpier Old Men  1995 
3,6.0,4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885,31357.0,3.0,845554349.0,Waiting to Exhale  1995 
4,6.0,5,Father of the Bride Part II (1995),Comedy,113041,11862.0,5.0,845553938.0,Father of the Bride Part II  1995 
5,1.0,6,Heat (1995),Action|Crime|Thriller,113277,949.0,4.0,964982224.0,Heat  1995 
6,6.0,7,Sabrina (1995),Comedy|Romance,114319,11860.0,4.0,845554264.0,Sabrina  1995 
7,6.0,8,Tom and Huck (1995),Adventure|Children,112302,45325.0,3.0,845555281.0,Tom and Huck  1995 
8,151.0,9,Sudden Death (1995),Action,114576,9091.0,4.0,855947372.0,Sudden Death  1995 
9,6.0,10,GoldenEye (1995),Action|Adventure|Thriller,113189,710.0,3.0,845553253.0,GoldenEye  1995 
10,6.0,11,"American President, The (1995)",Comedy|Drama|Romance,112346,9087.0,4.0,845553489.0,American President  The  1995 
11,19.0,12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,12110.0,1.0,965705347.0,Dracula  Dead and Loving It  1995 
12,6.0,13,Balto (1995),Adventure|Animation|Children,112453,21032.0,3.0,845555588.0,Balto  1995 
13,84.0,14,Nixon (1995),Drama,113987,10858.0,4.0,857653349.0,Nixon  1995 
14,6.0,15,Cutthroat Island (1995),Action|Adventure|Romance,112760,1408.0,4.0,845554505.0,Cutthroat Island  1995 
15,6.0,16,Casino (1995),Crime|Drama,112641,524.0,4.0,845553819.0,Casino  1995 
16,6.0,17,Sense and Sensibility (1995),Drama|Romance,114388,4584.0,4.0,845553559.0,Sense and Sensibility  1995 
17,44.0,18,Four Rooms (1995),Comedy,113101,5.0,4.0,869252115.0,Four Rooms  1995 
18,6.0,19,Ace Ventura: When Nature Calls (1995),Comedy,112281,9273.0,2.0,845553382.0,Ace Ventura  When Nature Calls  1995 
19,78.0,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845,11517.0,3.0,1252573422.0,Money Train  1995 
20,4.0,21,Get Shorty (1995),Comedy|Crime|Thriller,113161,8012.0,3.0,986935199.0,Get Shorty  1995 
21,6.0,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722,1710.0,5.0,845553875.0,Copycat  1995 
22,28.0,23,Assassins (1995),Action|Crime|Thriller,112401,9691.0,1.5,1242290862.0,Assassins  1995 
23,6.0,24,Powder (1995),Drama|Sci-Fi,114168,12665.0,4.0,845554397.0,Powder  1995 
24,6.0,25,Leaving Las Vegas (1995),Drama|Romance,113627,451.0,3.0,845553695.0,Leaving Las Vegas  1995 
25,6.0,26,Othello (1995),Drama,114057,16420.0,4.0,845555362.0,Othello  1995 
26,6.0,27,Now and Then (1995),Children|Drama,114011,9263.0,3.0,845555402.0,Now and Then  1995 
27,33.0,28,Persuasion (1995),Drama|Romance,114117,17015.0,5.0,939654815.0,Persuasion  1995 
